"artists","keyword","playlist_id","playlist_name","playlist_owner","popularity","track_id","track_name"
[u'Christina y Los Subterraneos'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,28,5dcGugkj7io4PPTahoI3ep,1.000 Pedazos
[u'Christina y Los Subterraneos'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,22,3HGuvEdoZ2fsJdVqmEtGtU,Pulgas En El Corazon
[u'Christina y Los Subterraneos'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,29,5SVuoLn65gwQdsXZoTMGEm,Yo No Soy Tu Ángel
[u'Christina Rosenvinge'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,31,7F7qMVKtVobGvvyx4fo8at,Alguien que cuide de mi - Version 2011
[u'Vetusta Morla'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,41,7oaMgXMjnpTzaujHLiiKSK,Cenas Ajenas
[u'Love of Lesbian'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,49,4F1zJUiHqs8BgGECMSif4N,Los seres únicos
[u'Marlango'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,42,4uQ6mvWsKzgO5KTS9K8nSQ,Dame La Razón
[u'L.A.'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,45,2PIC7KxAgHGYCGuGqcorw7,Dualize
[u'L.A.'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,34,5K5LFjqvztqUECvpKN9dRd,Pictures on the Wall
[u'L.A.'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,27,1CpurglHzwWs1R8k9ihCpp,Leading Role
[u'La Habitaci\xf3n Roja'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,48,74KPn7A2cBjka7X5iZkgmU,Ayer
[u'Ivan Ferreiro'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,52,541hgOF71B92Jpg4IU6kyx,Turnedo
[u'Ivan Ferreiro'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,47,0603R13Jv4PfkdC0Ch1vK2,Turnedo - feat. Xoel Lopez / Confesiones-directo
[u'Ivan Ferreiro'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,48,1WEahl0RMQg1VTbIT69x2R,El equilibrio es imposible - feat. Santi Balmes / Confesiones-directo
[u'Ivan Ferreiro'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,35,5h1Ay0dFfi2sKW2tROo6XS,SPNB - feat. Ruben Pozo / Confesiones-directo
[u'Deluxe'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,36,55OsUY4wQ5OMjZOYyoj2hG,Reconstrucción (El mejor momento)
[u'Stay'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,8,2lRDjJya9TCDOH74ShF4xs,Masters of the Earth
[u'Xoel L\xf3pez'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,48,00igiN0TA3HPEtFIyf1o2v,Tierra
[u'Xoel L\xf3pez'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,42,5wDfyetQjWonCGxA2os8Kp,Hombre de Ninguna Parte
[u'Xoel L\xf3pez'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,40,1jzuxqUkhXHmabJj9cikII,Por el Viejo Barrio
[u'Miss Caffeina'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,43,4Aa8dYMaUjw6g5265DExeY,Mi Rutina Preferida
[u'Miss Caffeina'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,46,1UK7AvApzdXOO4sGzkIEMi,Capitan
[u'Izal'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,54,1kn01pL31GIIOcaHbGKCFj,Hambre
[u'Izal'],lesbian,2cop0PX3vbdZxUEEW9fQsa,"L.A., lori mellers, love of lesbian, sidonie, cristina, leiva, los planetas,vetusta,izal, supersubmarina,.... Y mas!!!",1186601704,0,7pgXXn4IVhlmzWnGG49IqK,A los que volveremos
